ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Meta: pd_amazon_asin,Meta: wpcf-featured-product-blurb,Meta: wpcf-featured-product-bg,Meta: _aioseop_description,Meta: _aioseop_title,Meta: _aioseo_og_title,Meta: _aioseo_og_description,Meta: _aioseo_og_article_section,Meta: _aioseo_og_article_tags,Meta: _aioseo_description,Meta: _aioseo_title,Meta: _oembed_c94f4592886a58db85945e70392bdd2b,Meta: _oembed_time_c94f4592886a58db85945e70392bdd2b,Meta: _oembed_539e4eeda12eaa37e97eef8b892c1520,Meta: _oembed_time_539e4eeda12eaa37e97eef8b892c1520,Meta: pd_app_store_is_app_page,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Meta: _aioseop_opengraph_settings,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Meta: _oembed_4b11d5fe4e09fe4b7fec820f100c4b15,Meta: _oembed_time_4b11d5fe4e09fe4b7fec820f100c4b15,Meta: _oembed_728a0dac19cdf351798de51220b0d0b2,Meta: _oembed_time_728a0dac19cdf351798de51220b0d0b2,Meta: _oembed_42e6d87c638cab881ecc45aa361878fd,Meta: _oembed_time_42e6d87c638cab881ecc45aa361878fd,Meta: _oembed_059f9b2dd3d668dfb47f0f9d0226b9d3,Meta: _oembed_time_059f9b2dd3d668dfb47f0f9d0226b9d3,Meta: _oembed_0cb4a6496a8b0d46456f2d3c2d33b378,Meta: _oembed_time_0cb4a6496a8b0d46456f2d3c2d33b378,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Meta: _oembed_29d65475a5f7e888b849b7e9c854cd9b,Meta: _oembed_time_29d65475a5f7e888b849b7e9c854cd9b,Meta: _oembed_aad28143aab973e4b7fbbd6704666d22,Meta: _oembed_time_aad28143aab973e4b7fbbd6704666d22,Meta: _oembed_34c2e98d0b63dd8dbae91e34735d57ba,Meta: _oembed_time_34c2e98d0b63dd8dbae91e34735d57ba,Meta: _oembed_1f35c6f5ad853693cecf803fc701e03a,Meta: _oembed_d74716f2e8e3a07717e05d676b38e687,Meta: _oembed_time_d74716f2e8e3a07717e05d676b38e687,Meta: _oembed_537be02feb8d2e299ee4446d85d1cdd6,Meta: _oembed_time_537be02feb8d2e299ee4446d85d1cdd6,Meta: _wp_old_date,Attribute 1 default,Meta: _oembed_77dc161aba0390fb89181534039cf22e,Meta: _oembed_e97103c996f5eb319e1bb26edc7db65c,Meta: _oembed_time_e97103c996f5eb319e1bb26edc7db65c,Meta: _oembed_69ff0798b05c6a00b26812dd6a726572,Meta: _oembed_time_69ff0798b05c6a00b26812dd6a726572,Meta: _oembed_94aebb77abac8e2d5a581ad4277ff9c4,Meta: _oembed_time_94aebb77abac8e2d5a581ad4277ff9c4,Meta: _oembed_dc379f7b8dc2cf20c41c01be0c76258c,Meta: _oembed_time_dc379f7b8dc2cf20c41c01be0c76258c,Meta: _oembed_7c1f6a65a2b395973165d3239ec41d36,Meta: _oembed_time_7c1f6a65a2b395973165d3239ec41d36,Meta: _oembed_adafc559fa34e338e90c59c1675c9471,Meta: _oembed_time_adafc559fa34e338e90c59c1675c9471,Meta: _oembed_f1979b9fa6dbcea7aba1fadaddf63c79,Meta: _oembed_time_f1979b9fa6dbcea7aba1fadaddf63c79,Meta: _oembed_427455e46976ae77316c87e15c08798b,Meta: _oembed_time_427455e46976ae77316c87e15c08798b,Meta: _oembed_de46211ef563dee34a27ff75821f6ed9,Meta: _oembed_time_de46211ef563dee34a27ff75821f6ed9,Meta: _oembed_da387e51efecfb30479bbda7ed48873c,Meta: _oembed_time_da387e51efecfb30479bbda7ed48873c,Meta: _oembed_2c010285893d0b268307b3bd330758e6,Meta: _oembed_time_2c010285893d0b268307b3bd330758e6,Meta: _oembed_56f0b2205e24686d8f5974bcf8a9aa95,Meta: _oembed_time_56f0b2205e24686d8f5974bcf8a9aa95,Meta: _oembed_096922c12f1b731f5744f32e029b194c,Meta: _oembed_time_096922c12f1b731f5744f32e029b194c,Meta: _oembed_fcdc542b711519744e3f017daf8db867,Meta: _oembed_time_fcdc542b711519744e3f017daf8db867,Meta: _oembed_ce5fbede140414035cf90851c184e2e5,Meta: _oembed_time_ce5fbede140414035cf90851c184e2e5,Meta: _oembed_5e98e65cc789e7ff2b0d126396225b4e,Meta: _oembed_time_5e98e65cc789e7ff2b0d126396225b4e,Meta: _oembed_19c364c65ea7037daa6d974c1a854fdf,Meta: _oembed_time_19c364c65ea7037daa6d974c1a854fdf,Meta: _oembed_51d9e6314cd91f46a131f9cf8484dbb0,Meta: _oembed_time_51d9e6314cd91f46a131f9cf8484dbb0,Meta: _oembed_62795f8affe54aa7631c73c28d24633a,Meta: _oembed_time_62795f8affe54aa7631c73c28d24633a,Meta: _oembed_f8a2a0a76a3c84c04bee084556e48cc5,Meta: _oembed_time_f8a2a0a76a3c84c04bee084556e48cc5,Meta: _oembed_48c8b915c8778f6135d4328e70863722,Meta: _oembed_time_48c8b915c8778f6135d4328e70863722,Meta: _oembed_a4a0bf48895f1dbff938e7f3153c8b63,Meta: _oembed_time_a4a0bf48895f1dbff938e7f3153c8b63,Meta: _oembed_09d420dab2206eec409a73ed2b524158,Meta: _oembed_time_09d420dab2206eec409a73ed2b524158,Meta: _oembed_510f54e335bb8afc5eba50eb6bfe5e07,Meta: _oembed_time_510f54e335bb8afc5eba50eb6bfe5e07,Meta: _oembed_351f79d53d5ec23758c1821c55138480,Meta: _oembed_time_351f79d53d5ec23758c1821c55138480,Meta: _oembed_96be6b5beb6b7ccc69a62a157a4f728f,Meta: _oembed_time_96be6b5beb6b7ccc69a62a157a4f728f,Meta: _oembed_d83079e69969951a1afe10b8f5a6b2cb,Meta: _oembed_time_d83079e69969951a1afe10b8f5a6b2cb,Meta: _oembed_aade1dd486b8d9085a3ef77c4873e663,Meta: _oembed_time_aade1dd486b8d9085a3ef77c4873e663,Meta: _oembed_6474109fad1df2063633f91f386e198a,Meta: _oembed_time_6474109fad1df2063633f91f386e198a,Meta: _oembed_a92e24d1f78ee15390f6ba08a6448585,Meta: _oembed_time_a92e24d1f78ee15390f6ba08a6448585,Meta: _oembed_99bb8a4f9bbb917b61694825ab2ae5af,Meta: _oembed_time_99bb8a4f9bbb917b61694825ab2ae5af,Meta: _oembed_c6af41e659bde6dad95ec1b41ed5882d,Meta: _oembed_time_c6af41e659bde6dad95ec1b41ed5882d,Meta: _oembed_59dab9b23469b01e245edb2c50eceac5,Meta: _oembed_time_59dab9b23469b01e245edb2c50eceac5,Meta: _oembed_845eccf2fb63924007b5fabdc3a8f1eb,Meta: _oembed_time_845eccf2fb63924007b5fabdc3a8f1eb,Meta: _oembed_1f3e3b94a5511e1a5484d5f0b030fd98,Meta: _oembed_time_1f3e3b94a5511e1a5484d5f0b030fd98,Meta: _oembed_01f8b605b01bad0a75bd333558ddccf2,Meta: _oembed_time_01f8b605b01bad0a75bd333558ddccf2,Meta: _oembed_bba7d57772f29f87f7dfa8054bd979e7,Meta: _oembed_time_bba7d57772f29f87f7dfa8054bd979e7,Meta: _oembed_d002781d578ef3eeeb1f7592c82ea807,Meta: _oembed_time_d002781d578ef3eeeb1f7592c82ea807,Meta: _oembed_7b36cce11c613fd5e0c57de5fb85b19f,Meta: _oembed_time_7b36cce11c613fd5e0c57de5fb85b19f,Meta: _oembed_f1d5e482c13004d7c8f37da8af8f0a32,Meta: _oembed_time_f1d5e482c13004d7c8f37da8af8f0a32,Meta: _oembed_e8d02988ca50b3405f06e7198527cabc,Meta: _oembed_time_e8d02988ca50b3405f06e7198527cabc,Meta: _oembed_269dbedc19b2834508f020651bf50f30,Meta: _oembed_time_269dbedc19b2834508f020651bf50f30,Meta: _oembed_52611f41c712028d9211932914e16776,Meta: _oembed_time_52611f41c712028d9211932914e16776,Meta: _oembed_57489d39b9be6beaa4a4deb5185296f5,Meta: _oembed_time_57489d39b9be6beaa4a4deb5185296f5,Meta: _oembed_577edcc8d4f6d18b6da3ee9bd9a89c2e,Meta: _oembed_time_577edcc8d4f6d18b6da3ee9bd9a89c2e,Meta: _oembed_801b140bc9fe65e0bf2974badfa47293,Meta: _oembed_time_801b140bc9fe65e0bf2974badfa47293,Meta: _oembed_be28ea8a45f8b4126564b5023c481ecd,Meta: _oembed_time_be28ea8a45f8b4126564b5023c481ecd,Meta: _oembed_1f6ddf3fdf1472e88ac3dee8c1c1b294,Meta: _oembed_time_1f6ddf3fdf1472e88ac3dee8c1c1b294,Meta: _oembed_f817e372630b550faa6e86d7cdc1c22e,Meta: _oembed_time_f817e372630b550faa6e86d7cdc1c22e,Meta: _oembed_a389a37b23f1eaea58476d2bcdf291cb,Meta: _oembed_time_a389a37b23f1eaea58476d2bcdf291cb,Meta: _oembed_ca80ff78068bc24c4d73244a0282744c,Meta: _oembed_time_ca80ff78068bc24c4d73244a0282744c,Meta: _oembed_ccf30d241c7e46b4bd9d2a87e53ccb44,Meta: _oembed_time_ccf30d241c7e46b4bd9d2a87e53ccb44,Meta: _oembed_e605b56b631cd2c81862f63c8c28f399,Meta: _oembed_time_e605b56b631cd2c81862f63c8c28f399,Meta: _oembed_4008f3f640549d21e7bfd14045011e2c,Meta: _oembed_time_4008f3f640549d21e7bfd14045011e2c,Meta: _oembed_2c73cfb89cc286c2e626760ec90d4226,Meta: _oembed_time_2c73cfb89cc286c2e626760ec90d4226,Meta: _oembed_c18ff4d515a189959d353902af94fd68,Meta: _oembed_time_c18ff4d515a189959d353902af94fd68,Meta: _oembed_9376c8a42356f50ad8faf1149613a56a,Meta: _oembed_time_9376c8a42356f50ad8faf1149613a56a,Meta: _oembed_b498501e246d3885c26a77d3933e9bfb,Meta: _oembed_time_b498501e246d3885c26a77d3933e9bfb,Meta: _oembed_ec1827a17a6611cd21119bace06ed843
72,variable,VK-1006-GDWT | VK-1006-SLBK,Mercury Series,1,0,visible,Bluetooth Earphones with Mic,"<ul>
\n 	<li>Bluetooth Version: 5.0</li>
\n 	<li>Distance: 10 m</li>
\n 	<li>Impedance: 32 Ω</li>
\n 	<li>Frequency Range: 20 Hz – 20 kHz</li>
\n 	<li>Sensitivity: 99 dB</li>
\n 	<li>Battery: 55 mAh</li>
\n 	<li>Driver Size: 10 mm</li>
\n 	<li>Charging Time: 1.5 Hours</li>
\n 	<li>Charging Input: 5 V – 1 A</li>
\n 	<li>Playtime: 3 – 4 Hours</li>
\n 	<li>Packaging Dimensions in mm : 110 (w) x 180 (h) x 40 (d)</li>
\n</ul>
\nFEATURES AND BENEFITS:
\n<ul>
\n 	<li>Magnetic Earphones</li>
\n 	<li>USB Input</li>
\n 	<li>Hands-free Calling</li>
\n 	<li>Cable Length Adjuster</li>
\n 	<li>Siri and Google Assistant</li>
\n</ul>
\nCONTENTS:
\n<ul>
\n 	<li>Volkano Mercury Magnetic Bluetooth</li>
\n 	<li>Wireless Earphones</li>
\n 	<li>Micro USB Charging Cable</li>
\n 	<li>3 x Spare Earbud Caps</li>
\n 	<li>Cable Length Adjuster</li>
\n 	<li>Hard Carry Case</li>
\n</ul>
\nAvailable At :
\n
\nGold/White : <a href=""https://www.makro.co.za/electronics-computers/audio-video/headphones/headphones/volkano-mercury-series-bluetooth-wireless-magnetic-earphones-with-mic---gold-white/p/367f22f8-800f-436f-ad84-142d2f25c251"" target=""_blank"" rel=""noopener noreferrer"">Makro</a> | <a href=""https://www.jumia.co.za/volkano-mercury-series-bluetooth-wireless-magnetic-earphones-810708.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>
\nSilver/Black : <a href=""https://www.jumia.co.za/volkano-mercury-series-bluetooth-wireless-magnetic-earphones-810708.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>",,,taxable,,1,,,0,0,,,,,0,,,,"Audio, Audio > Earphones > Bluetooth Wireless Earphones, Audio > Earphones",,,"https://volkano.com/wp-content/uploads/2018/04/vk-1006-slbk-volkano-mercury-series-magnetic-bluetooth-earphones-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vk-1006-gdwt-volkano-mercury-series-magnetic-bluetooth-earphones-4-1.jpg",,,,,,,,,0,Colour,"Gold &amp; White, Silver &amp; Black",0,1,Bluetooth Version,v4.1,1,1,Profiles,"A2DP, AVRCP, HFP",1,1,Driver Size,10mm,1,1,Frequency Response,20Hz - 20kHz,1,1,Impedance,16&Omega;,1,1,Sensitivity,110dB,1,1,Charge Time,2h,1,1,Playback Time,3 - 4h,1,1,Battery,90mAh,1,1,,                                                                        ,,"The Mercury Series is a slick, metallic finished aux earphone with large in-line mic for taking and rejecting calls.",Volkano Mercury Series Bluetooth Earphones with Mic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,variable,VMS201-BLK | VMS201-R | VMS201-WHT,Metallic Series,0,0,hidden,Aux Earphones with Mic,"<ul>
\n 	<li>Great quality earphones with a unique colour combination and metallic finish.</li>
\n 	<li>Ideal for the gym, a jog, a run, or even just everyday use.</li>
\n 	<li>Comes with an inline microphone for taking and rejecting calls.</li>
\n 	<li>Compatible with most devices with a 3.5mm input, such as phones, tablets, MP3 players, and more.</li>
\n 	<li>The metallic function clips your earphones together for convenient storage and less cable mess.</li>
\n</ul>
\nTechnical Specifications:
\n<ul>
\n 	<li>Driver: 9mm</li>
\n 	<li>Impedance: 16 ohms</li>
\n 	<li>Frequency: 20-20kHz</li>
\n 	<li>Sensitivity: 103db</li>
\n 	<li>Rated Power: 3mw</li>
\n 	<li>Max Power: 15mw</li>
\n 	<li>Cable length: 120cm</li>
\n</ul>
\n&nbsp;
\n
\nAvailable At :
\n
\nBlack : <a href=""https://www.makro.co.za/electronics-computers/audio-video/headphones/headphones/volkano-metallic-series-earphones-with-mic---black/p/aa879623-4ca2-452c-bfb6-8aa3fa250dff"" target=""_blank"" rel=""noopener noreferrer"">Makro</a>
\nRed : <a href=""https://www.takealot.com/volkano-metallic-series-earphones-with-mic-red/PLID40402387"" target=""_blank"" rel=""noopener noreferrer"">TakeALot</a> | <a href=""https://www.jumia.co.za/volkano-metallic-series-earphones-with-mic-845166.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>",,,taxable,,1,,,0,0,,,,,0,,,,"Audio, Audio > Earphones, Audio > Earphones > Wired Earphones",,,"https://volkano.com/wp-content/uploads/2018/04/vms201-blk-volkano-metallic-series-aux-earphones-black-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vms201-r-volkano-metallic-series-aux-earphones-red-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vms201-wht-volkano-metallic-series-aux-earphones-white-4-1.jpg",,,,,,,,,0,Colour,"Black, Red, White",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B01N0VPV9Z,                                                                                    ,,The metallic function clips your earphones together for convenient storage and less cable mess.,Volkano Metallic Series Aux Earphones with Mic,,,,,The metallic function clips your earphones together for convenient storage and less cable mess.,Volkano Metallic Series Aux Earphones with Mic | #site_title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,variable,VK-1005-BKGR | VK-1005-GNBK | VK-1005-GRWT | VK-1005-RDBK,Motion Series,1,0,visible,Bluetooth Sports Earphones with Mic,"https://youtu.be/2b98cGAdi-k
\n
\nSPECIFICATIONS:
\n<ul>
\n 	<li>Bluetooth® Version:5.0</li>
\n 	<li>Range:10 m / 33 ft</li>
\n 	<li>Driver Size:Ø 10 mm</li>
\n 	<li>Frequency Response: 20 Hz ~ 20 kHz</li>
\n 	<li>Impedance: 32 Ω</li>
\n 	<li>Sensitivity: 105 ± 5 dB</li>
\n 	<li>Playtime: 3 ~ 4 Hours</li>
\n 	<li>Charge Time: 3 Hours</li>
\n 	<li>Battery Capacity: 70 mAh</li>
\n 	<li>Packaging Dimensions in mm: 112 (w) x 180 (h) x 40 (d)</li>
\n</ul>
\nFEATURES AND BENEFITS:
\n<ul>
\n 	<li>Up to 6 Hours Playtime</li>
\n 	<li>True Stereo Sound</li>
\n 	<li>Hands-Free Calling</li>
\n 	<li>USB Charging</li>
\n 	<li>Sports Stabilizer Tips</li>
\n</ul>
\nCONTENTS:
\n<ul>
\n 	<li>Volkano Motion Bluetooth® Wireless Earphones</li>
\n 	<li>USB to Micro USB Charging Cable</li>
\n 	<li>Instruction Manual</li>
\n 	<li>Silicon Sports Stabilizer Tips</li>
\n</ul>
\n&nbsp;
\n
\nAvailable At :
\n
\nGrey/White : <a href=""https://www.jumia.co.za/volkano-motion-bluetooth-sports-earphones-810707.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>
\nBlack/Grey : <a href=""https://www.jumia.co.za/volkano-motion-bluetooth-sports-earphones-810707.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>
\nGreen/Black : <a href=""https://www.jumia.co.za/volkano-motion-bluetooth-sports-earphones-810707.html"" target=""_blank"" rel=""noopener noreferrer"">Jumia</a>",,,taxable,,1,,,0,0,,,,,0,,,,"Audio, Audio > Earphones > Bluetooth Wireless Earphones, Audio > Earphones, Active > Sports Audio",,,"https://volkano.com/wp-content/uploads/2018/04/vk-1005-bkgr-volkano-motion-bluetooth-sports-earphones-black-grey-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vk-1005-grwt-volkano-motion-bluetooth-sports-earphones-grey-white-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vk-1005-gnbk-volkano-motion-bluetooth-sports-earphones-green-black-4-1.jpg, https://volkano.com/wp-content/uploads/2018/04/vk-1005-rdbk-volkano-motion-bluetooth-earphones-red-black-4-1-1.jpg",,,,,,,,,0,Colour,"Black &amp; Grey, Black &amp; Red, Green &amp; Black, Grey &amp; White",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B07PK3PBCF,                                                                                                ,,Jam with your favorite music and have complete focus on the activity that you are doing. Let the beats drive you on to greater achievements.,Volkano Motion Series Bluetooth Sports Earphones with Mic,,,,,,,"<iframe title=""Volkano Motion"" width=""500"" height=""281"" src=""https://www.youtube.com/embed/2b98cGAdi-k?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1611322918,"<iframe title=""Volkano Motion"" width=""829"" height=""466"" src=""https://www.youtube.com/embed/2b98cGAdi-k?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>",1597924026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,variable,VSN202-B | VSN202-BLK | VSN202-R | VSN202-WHT,Stannic Series,1,0,visible,Aux Earphones with Mic,"<b>SPECIFICATIONS:</b>
\n<ul>
\n 	<li><span style=""font-weight: 400;"">Driver Size: ø10 mm</span></li>
\n 	<li><span style=""font-weight: 400;"">Frequency:  20 Hz - 20 kHz</span></li>
\n 	<li><span style=""font-weight: 400;"">Impedance: 16 Ω ± 3 Ω </span></li>
\n 	<li><span style=""font-weight: 400;"">Cable: 1.2 m / 4 ft</span></li>
\n 	<li><span style=""font-weight: 400;"">Mic Sensitivity: 85 dB</span></li>
\n</ul>
\n<b>FEATURES AND BENEFITS:</b>
\n<ul>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hands-free Calling</span></li>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Compatible with Most Aux Devices</span></li>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Includes 3 x Earbud Cap Sizes</span></li>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Multifunction Button</span></li>
\n</ul>
\n<b>CONTENTS:</b>
\n<ul>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Volkano Stannic Series Aux </span> <span style=""font-weight: 400;"">                  </span></li>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Earphones with Mic</span></li>
\n 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">3 x Earbud Caps</span></li>
